State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
01,121,AL,Talladega County,"17,912","15,579","20,245",22.7,19.7,25.7,"6,290","5,358","7,222",33.6,28.6,38.6,"4,235","3,508","4,962",30.7,25.4,36.0,"35,646","33,447","37,845",,,,,,
01,123,AL,Tallapoosa County,"7,502","6,057","8,947",18.3,14.8,21.8,"2,679","2,079","3,279",29.5,22.9,36.1,"1,838","1,424","2,252",27.6,21.4,33.8,"34,440","32,012","36,868",,,,,,
01,125,AL,Tuscaloosa County,"33,258","29,183","37,333",18.0,15.8,20.2,"9,650","8,110","11,190",23.4,19.7,27.1,"6,432","5,254","7,610",21.7,17.7,25.7,"43,098","40,661","45,535",,,,,,
01,127,AL,Walker County,"15,288","13,406","17,170",23.2,20.3,26.1,"5,116","4,385","5,847",34.6,29.7,39.5,"3,740","3,229","4,251",34.2,29.5,38.9,"36,044","33,629","38,459",,,,,,
01,129,AL,Washington County,"3,406","2,643","4,169",19.6,15.2,24.0,"1,264",972,"1,556",28.5,21.9,35.1,875,678,"1,072",26.0,20.2,31.8,"37,639","34,174","41,104",,,,,,
01,131,AL,Wilcox County,"4,547","3,707","5,387",39.6,32.3,46.9,"1,630","1,282","1,978",52.5,41.3,63.7,"1,141",902,"1,380",47.5,37.5,57.5,"21,611","19,750","23,472",,,,,,
01,133,AL,Winston County,"4,894","3,815","5,973",20.3,15.8,24.8,"1,659","1,267","2,051",31.9,24.3,39.5,"1,155",879,"1,431",29.8,22.7,36.9,"32,574","29,693","35,455",,,,,,
02,000,AK,Alaska,"76,850","72,916","80,784",11.0,10.4,11.6,"27,209","25,096","29,322",14.8,13.6,16.0,"15,714","13,861","17,567",12.1,10.7,13.5,"63,456","62,061","64,851","10,481","9,515","11,447",19.8,18.0,21.6
02,013,AK,Aleutians East Borough,527,419,635,16.8,13.4,20.2,61,44,78,16.4,11.8,21.0,36,25,47,14.1,9.6,18.6,"47,077","42,458","51,696",,,,,,
02,016,AK,Aleutians West Census Area,482,362,602,9.0,6.8,11.2,86,62,110,11.0,8.0,14.0,50,34,66,8.6,5.9,11.3,"58,517","53,140","63,894",,,,,,
